,Name,Symbol,Market Cap,Country,IPO Year,Sector,Sub Sector
1,Microsoft Corporation,MSFT,$987.97B,United States,1986,Computer Software: Prepackaged Software,
3,Apple Inc.,AAPL,$874.57B,United States,1980,Computer Manufacturing,
5,Alphabet Inc.,GOOGL,$822.33B,United States,n/a,"Computer Software: Programming, Data Processing",
7,Alphabet Inc.,GOOG,$818.5B,United States,2004,"Computer Software: Programming, Data Processing",
9,"Facebook, Inc.",FB,$533.76B,United States,2012,"Computer Software: Programming, Data Processing",
11,"Cisco Systems, Inc.",CSCO,$246.21B,United States,1990,Computer Communications Equipment,
13,Taiwan Semiconductor Manufacturing Company Ltd.,TSM,$215.38B,Taiwan,1997,Semiconductors,
15,Intel Corporation,INTC,$203.84B,United States,n/a,Semiconductors,
17,Oracle Corporation,ORCL,$186.74B,United States,1986,Computer Software: Prepackaged Software,
19,SAP SE,SAP,$154.11B,Germany,n/a,Computer Software: Prepackaged Software,
21,Adobe Inc.,ADBE,$138.36B,United States,1986,Computer Software: Prepackaged Software,
23,Salesforce.com Inc,CRM,$122.79B,United States,2004,Computer Software: Prepackaged Software,
25,International Business Machines Corporation,IBM,$120.48B,United States,n/a,Computer Manufacturing,
27,Broadcom Inc.,AVGO,$117.68B,United States,2009,Semiconductors,
29,Texas Instruments Incorporated,TXN,$102.46B,United States,n/a,Semiconductors,
31,QUALCOMM Incorporated,QCOM,$100.67B,United States,1991,Radio And Television Broadcasting And Communications Equipment,
33,NVIDIA Corporation,NVDA,$97.47B,United States,1999,Semiconductors,
35,"Vmware, Inc.",VMW,$84.32B,United States,2007,Computer Software: Prepackaged Software,
37,"Uber Technologies, Inc.",UBER,$72.35B,n/a,2019,Computer Software: Prepackaged Software,
39,"Automatic Data Processing, Inc.",ADP,$70.3B,United States,n/a,EDP Services,
41,Intuit Inc.,INTU,$64.13B,United States,1993,Computer Software: Prepackaged Software,
43,"ServiceNow, Inc.",NOW,$51.57B,United States,2012,Computer Software: Prepackaged Software,
45,Dell Technologies Inc.,DELL,$50.15B,n/a,2018,Computer Manufacturing,
47,Illinois Tool Works Inc.,ITW,$49.67B,United States,n/a,Industrial Machinery/Components,
49,"Workday, Inc.",WDAY,$47.78B,United States,n/a,EDP Services,
51,Infosys Limited,INFY,$45.48B,India,n/a,EDP Services,
53,"Baidu, Inc.",BIDU,$42.83B,"278,664,770",China,2005,"Computer Software: Programming, Data Processing"
55,"Micron Technology, Inc.",MU,$41.29B,United States,n/a,Semiconductors,
57,"Applied Materials, Inc.",AMAT,$39.55B,United States,1972,Semiconductors,
59,"Autodesk, Inc.",ADSK,$38.9B,United States,n/a,Computer Software: Prepackaged Software,
61,"Analog Devices, Inc.",ADI,$38.56B,United States,n/a,Semiconductors,
63,Altaba Inc.,AABA,$37.81B,United States,n/a,EDP Services,
65,"Activision Blizzard, Inc",ATVI,$36.22B,United States,n/a,Computer Software: Prepackaged Software,
67,"Fiserv, Inc.",FISV,$34.45B,United States,1986,EDP Services,
69,"Eaton Corporation, PLC",ETN,$33.85B,Ireland,n/a,Industrial Machinery/Components,
71,Cognizant Technology Solutions Corporation,CTSH,$33.38B,United States,1998,EDP Services,
73,"Red Hat, Inc.",RHT,$32.98B,United States,n/a,"Computer Software: Programming, Data Processing",
75,Atlassian Corporation Plc,TEAM,$31.28B,United Kingdom,2015,Computer Software: Prepackaged Software,
77,"Advanced Micro Devices, Inc.",AMD,$30.29B,United States,n/a,Semiconductors,
79,Electronic Arts Inc.,EA,$29.66B,United States,n/a,Computer Software: Prepackaged Software,
81,"Twitter, Inc.",TWTR,$29.44B,n/a,2013,"Computer Software: Programming, Data Processing",
83,Lam Research Corporation,LRCX,$29.15B,United States,1984,Industrial Machinery/Components,
85,HP Inc.,HPQ,$29.04B,United States,n/a,Computer Manufacturing,
87,"Square, Inc.",SQ,$28.08B,United States,2015,Computer Software: Prepackaged Software,
89,NXP Semiconductors N.V.,NXPI,$27.85B,Netherlands,2010,Semiconductors,
91,Nokia Corporation,NOK,$27.77B,Finland,1994,Radio And Television Broadcasting And Communications Equipment,
93,Shopify Inc.,SHOP,$27.58B,Canada,2015,Computer Software: Prepackaged Software,
95,Wipro Limited,WIT,$27.03B,India,n/a,EDP Services,
97,"Xilinx, Inc.",XLNX,$26.95B,United States,1990,Semiconductors,
99,"Motorola Solutions, Inc.",MSI,$24.45B,United States,n/a,Radio And Television Broadcasting And Communications Equipment,
